,0
0,null
0,Cody Gakpo
0,"Davy Klaassen
"
1,Jude Bellingham
1,Bukayo Saka
1,Raheem Sterling
1,Bukayo Saka
1,Marcus Rashford
1,Jack Grealish
1,Mehdi Taremi
1,Mehdi Taremi
2,
2,Enner Valencia
2,Enner Valencia
3,Timothy Weah
3,Gareth Bale
4,Lionel Messi
4,Saleh Al Shehri
4, Salem Al Dawsari
5,null
5,null
6,null
6,null
7,Adrien Rabiot
7,Olivier Giroud
7,Kylian Mbappé
7,Craig Goodwin
8,null
8,null
9,İlkay Gündoğan
9,Ritsu Doan
9,Takuma Asano
10,Dani Olmo
10,Marco Asensio
10,Ferran Torres
10,Ferran Torres
10,Gavi
10,Carlos Soler
10,Álvaro Morata
10,null
11,Michy Batshuayi
11,null
12,Richarlison
12,Richarlison
12,null
13,Cristiano Ronaldo
13,João Félix
13,Rafael Leão
13,André Ayew
13,Osman Bukari
14,null
14,null
15,Michy Batshuayi
15,null
16,Rouzbeh Cheshmi
16,Ramin Rezaeian
16,null
17,Mohammed Muntari
17,Boulaye Dia
17,Famara Diedhiou
17,Bamba Dieng
18,Cody Gakpo
18,Enner Valencia
19,null
19,null
20,null
20,Mitchell Duke
21,null
21,null
22,null
22,null
23,null
23,null
24,null
24,null
25,null
25,null
26,null
26,null
27,null
27,null
28,null
28,null
29,null
29,null
30,null
30,null
31,null
31,null
32,null
32,null
33,null
33,null
34,null
34,null
35,null
35,null
36,null
36,null
37,null
37,null
38,null
38,null
39,null
39,null
40,null
40,null
41,null
41,null
42,null
42,null
43,null
43,null
44,null
44,null
45,null
45,null
46,null
46,null
47,null
47,null
